task_idx,cam_strategy,cam_percentage,cam_resolution,cam_threshold,imbalanced_ratio,model_variant,cam_extraction_method,seen_acc,unseen_acc
0,top,25,"(7, 7)",,0.1,baseline,gradcam,25.8,25.8
1,top,25,"(7, 7)",,0.1,baseline,gradcam,26.5,26.5
2,top,25,"(7, 7)",,0.1,baseline,gradcam,31.25,31.25
3,top,25,"(7, 7)",,0.1,baseline,gradcam,32.7,32.7
4,top,25,"(7, 7)",,0.1,baseline,gradcam,27.3,26.1
0,top,25,"(7, 7)",,0.1,baseline,gradcam++,25.05,25.05
1,top,25,"(7, 7)",,0.1,baseline,gradcam++,24.75,24.75
2,top,25,"(7, 7)",,0.1,baseline,gradcam++,30.8,30.8
3,top,25,"(7, 7)",,0.1,baseline,gradcam++,27.6,27.6
4,top,25,"(7, 7)",,0.1,baseline,gradcam++,31.35,32.6
0,top,25,"(7, 7)",,0.1,baseline,scorecam,28.0,28.0
1,top,25,"(7, 7)",,0.1,baseline,scorecam,25.5,25.5
2,top,25,"(7, 7)",,0.1,baseline,scorecam,31.85,31.85
3,top,25,"(7, 7)",,0.1,baseline,scorecam,30.7,30.7
4,top,25,"(7, 7)",,0.1,baseline,scorecam,29.15,29.5
0,top,25,"(7, 7)",,0.1,baseline,gradcam,24.2,24.2
1,top,25,"(7, 7)",,0.1,baseline,gradcam,29.4,29.4
2,top,25,"(7, 7)",,0.1,baseline,gradcam,31.25,31.25
3,top,25,"(7, 7)",,0.1,baseline,gradcam,27.85,27.85
4,top,25,"(7, 7)",,0.1,baseline,gradcam,24.75,26.3
0,top,25,"(7, 7)",,0.1,baseline,gradcam++,25.9,25.9
1,top,25,"(7, 7)",,0.1,baseline,gradcam++,29.05,29.05
2,top,25,"(7, 7)",,0.1,baseline,gradcam++,30.9,30.9
3,top,25,"(7, 7)",,0.1,baseline,gradcam++,29.9,29.9
4,top,25,"(7, 7)",,0.1,baseline,gradcam++,27.05,21.0
0,top,25,"(7, 7)",,0.1,baseline,scorecam,24.95,24.95
1,top,25,"(7, 7)",,0.1,baseline,scorecam,28.75,28.75
2,top,25,"(7, 7)",,0.1,baseline,scorecam,26.2,26.2
3,top,25,"(7, 7)",,0.1,baseline,scorecam,32.25,32.25
4,top,25,"(7, 7)",,0.1,baseline,scorecam,29.6,25.0
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,23.55,23.55
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,30.95,30.95
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,27.6,27.6
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,30.6,30.6
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,31.65,30.3
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,26.35,26.35
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,27.1,27.1
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,30.1,30.1
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,34.8,34.8
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,27.1,23.4
0,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,25.4,25.4
1,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,28.65,28.65
2,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,29.55,29.55
3,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,33.6,33.6
4,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,24.4,22.8
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,27.7,27.7
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,28.2,28.2
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,29.25,29.25
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,31.3,31.3
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,27.0,25.6
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,26.7,26.7
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,29.2,29.2
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,30.75,30.75
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,29.65,29.65
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,26.65,26.3
0,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,26.0,26.0
1,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,28.7,28.7
2,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,27.55,27.55
3,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,31.1,31.1
4,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,30.15,31.4
0,top,25,"(7, 7)",,0.2,baseline,gradcam,33.7,33.7
1,top,25,"(7, 7)",,0.2,baseline,gradcam,37.05,37.05
2,top,25,"(7, 7)",,0.2,baseline,gradcam,35.95,35.95
3,top,25,"(7, 7)",,0.2,baseline,gradcam,40.7,40.7
4,top,25,"(7, 7)",,0.2,baseline,gradcam,39.5,42.5
0,top,25,"(7, 7)",,0.2,baseline,gradcam++,36.0,36.0
1,top,25,"(7, 7)",,0.2,baseline,gradcam++,38.05,38.05
